127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/analytics.min.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/share.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.040000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/title-sidebar.jpg, HTTP/1.1, 200, 0.041000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/logo.jpg, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/banner.jpg, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/dot.png, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/title-news.jpg, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/title-videos-english.jpg, HTTP/1.1, 200, 0.007000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/title-videos.jpg, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/more.jpg, HTTP/1.1, 200, 0.010000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/1.jpg, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/2.jpg, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/3.jpg, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/4.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-12-22 21:22:16, GET, /test/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:22:17, GET, /test/static/images/bg-sidebar.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:22:17, GET, /test/static/images/bg-content.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:22:17, GET, /test/static/images/bg-title.jpg, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-12-22 21:22:17, GET, /test/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-12-22 21:22:17, GET, /test/static/images/facebook.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-22 21:22:17, GET, /test/static/images/gplus-32.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2014-12-22 21:22:29, GET, /test/default/index, HTTP/1.1, 200, 0.055000
127.0.0.1, 2014-12-22 21:22:30, GET, /test/static/js/share.js, HTTP/1.1, 304, 0.001000
